category;treatment;Log_FC
N-containing metabolites;Fe;5.69
N-containing metabolites;Fe;0.93
N-containing metabolites;Fe;7.45
N-containing metabolites;Fe;-16.89
N-containing metabolites;Fe;0.79
N-containing metabolites;Fe;0.14
N-containing metabolites;Fe;0.93
N-containing metabolites;Fe;0.93
N-containing metabolites;Fe;-4.64
N-containing metabolites;Fe;-4.78
N-containing metabolites;Fe;4.22
N-containing metabolites;Fe;-1.98
N-containing metabolites;Fe;-3.65
N-containing metabolites;Fe;13.25
N-containing metabolites;Fe;-17.93
N-containing metabolites;Fe;17.93
N-containing metabolites;Fe;32.48
N-containing metabolites;Fe;-1.26
N-containing metabolites;Fe;0.93
N-containing metabolites;Fe;-1.69
N-containing metabolites;Fe;-16.48
N-containing metabolites;Fe;10.91
N-containing metabolites;Fe;0.93
N-containing metabolites;Fe;0.93
N-containing metabolites;Fe;0.93
N-containing metabolites;Fe;0.93
N-containing metabolites;Fe;19.63
N-containing metabolites;Fe;-7.86
N-containing metabolites;Fe;-17.93
N-containing metabolites;Fe;0.93
N-containing metabolites;Fe;-5.41
N-containing metabolites;Fe;0.91
N-containing metabolites;Fe;18.51
N-containing metabolites;N;-6.21
N-containing metabolites;N;-0.05
N-containing metabolites;N;6.73
N-containing metabolites;N;9.33
N-containing metabolites;N;7.45
N-containing metabolites;N;-17.12
N-containing metabolites;N;8.55
N-containing metabolites;N;3.14
N-containing metabolites;N;-6.41
N-containing metabolites;N;5.2
N-containing metabolites;N;-0.05
N-containing metabolites;N;5.53
N-containing metabolites;N;-17.6
N-containing metabolites;N;6.27
N-containing metabolites;N;-12.4
N-containing metabolites;N;5.53
N-containing metabolites;N;-0.05
N-containing metabolites;N;3.18
N-containing metabolites;N;3.14
N-containing metabolites;N;0.33
N-containing metabolites;N;1.28
N-containing metabolites;N;-5.99
N-containing metabolites;N;11.55
N-containing metabolites;N;12.35
N-containing metabolites;N;3.14
N-containing metabolites;N;12.35
N-containing metabolites;N;-9.36
N-containing metabolites;N;15.77
N-containing metabolites;N;-0.05
N-containing metabolites;N;12.35
N-containing metabolites;N;-11.6
N-containing metabolites;N;-10.14
N-containing metabolites;P;-0.27
N-containing metabolites;P;2.69
N-containing metabolites;P;-10.55
N-containing metabolites;P;1.34
N-containing metabolites;P;0.85
N-containing metabolites;P;5.99
N-containing metabolites;P;11.49
N-containing metabolites;P;12.36
N-containing metabolites;P;5.91
N-containing metabolites;P;16.85
N-containing metabolites;P;12.35
N-containing metabolites;P;8.27
N-containing metabolites;P;5.96
N-containing metabolites;P;12.41
N-containing metabolites;P;23.85
N-containing metabolites;P;-9.66
N-containing metabolites;P;5.91
N-containing metabolites;P;-10.92
N-containing metabolites;P;12.66
N-containing metabolites;P;-1.69
N-containing metabolites;P;0.82
N-containing metabolites;P;18.67
N-containing metabolites;P;12.35
N-containing metabolites;P;12.35
N-containing metabolites;P;12.31
N-containing metabolites;P;12.44
N-containing metabolites;P;-0.42
N-containing metabolites;P;9.27
N-containing metabolites;P;-6.44
N-containing metabolites;P;12.42
N-containing metabolites;P;12.35
N-containing metabolites;P;18.95
N-containing metabolites;P;-11.63
N-containing metabolites;S;0.04
N-containing metabolites;S;-5.68
N-containing metabolites;S;-19.34
N-containing metabolites;S;0.65
N-containing metabolites;S;-5.15
N-containing metabolites;S;-0.29
N-containing metabolites;S;-5.87
N-containing metabolites;S;-5.76
N-containing metabolites;S;-11.44
N-containing metabolites;S;-5.87
N-containing metabolites;S;-0.21
N-containing metabolites;S;-5.17
N-containing metabolites;S;-10.45
N-containing metabolites;S;6.45
N-containing metabolites;S;-18.26
N-containing metabolites;S;9.14
N-containing metabolites;S;0.79
N-containing metabolites;S;-5.87
N-containing metabolites;S;0.19
