category;treatment;Log_FC
N-containing metabolites;Fe;0.928
N-containing metabolites;Fe;7.454
N-containing metabolites;Fe;-3.654
N-containing metabolites;Fe;2.003
N-containing metabolites;Fe;-7.86
N-containing metabolites;Fe;-1.98
N-containing metabolites;Fe;5.694
N-containing metabolites;Fe;18.507
N-containing metabolites;Fe;13.252
N-containing metabolites;Fe;-4.64
N-containing metabolites;N;9.331
N-containing metabolites;N;11.547
N-containing metabolites;N;6.725
N-containing metabolites;N;6.273
N-containing metabolites;N;-23.741
N-containing metabolites;N;15.77
N-containing metabolites;N;-17.599
N-containing metabolites;N;-6.206
N-containing metabolites;N;-10.145
N-containing metabolites;N;5.197
N-containing metabolites;P;1.344
N-containing metabolites;P;12.351
N-containing metabolites;P;-10.547
N-containing metabolites;P;12.411
N-containing metabolites;P;6.861
N-containing metabolites;P;9.273
N-containing metabolites;P;5.962
N-containing metabolites;P;-0.266
N-containing metabolites;P;-11.627
N-containing metabolites;P;23.853
N-containing metabolites;P;16.847
N-containing metabolites;S;-5.868
N-containing metabolites;S;-19.337
N-containing metabolites;S;-10.45
N-containing metabolites;S;-4.959
N-containing metabolites;S;-8.806
N-containing metabolites;S;-5.169
N-containing metabolites;S;0.043
N-containing metabolites;S;-0.202
N-containing metabolites;S;6.447
N-containing metabolites;S;-11.436
Phenylpropanoids;Fe;9.893
Phenylpropanoids;Fe;-7.156
Phenylpropanoids;Fe;-0.344
Phenylpropanoids;Fe;-4.829
Phenylpropanoids;Fe;-7.44
Phenylpropanoids;Fe;-4.64
Phenylpropanoids;Fe;0.912
Phenylpropanoids;Fe;7.602
Phenylpropanoids;Fe;-5.355
Phenylpropanoids;Fe;0.928
Phenylpropanoids;Fe;-5.074
Phenylpropanoids;Fe;1.927
Phenylpropanoids;Fe;-1.899
Phenylpropanoids;Fe;-5.5
Phenylpropanoids;Fe;0.928
Phenylpropanoids;Fe;-1.257
Phenylpropanoids;Fe;-11.309
Phenylpropanoids;Fe;-3.654
Phenylpropanoids;Fe;-8.238
Phenylpropanoids;Fe;-8.402
Phenylpropanoids;Fe;0.928
Phenylpropanoids;Fe;-5.324
Phenylpropanoids;Fe;0.794
Phenylpropanoids;N;5.314
Phenylpropanoids;N;4.917
Phenylpropanoids;N;4.734
Phenylpropanoids;N;12.623
Phenylpropanoids;N;7.867
Phenylpropanoids;N;5.197
Phenylpropanoids;N;-11.597
Phenylpropanoids;N;5.083
Phenylpropanoids;N;6.923
Phenylpropanoids;N;11.637
Phenylpropanoids;N;12.266
Phenylpropanoids;N;-14.82
Phenylpropanoids;N;12.43
Phenylpropanoids;N;-6.301
Phenylpropanoids;N;2.654
Phenylpropanoids;N;6.579
Phenylpropanoids;N;6.369
Phenylpropanoids;N;-10.998
Phenylpropanoids;N;5.342
Phenylpropanoids;N;5.927
