genotype;molecule;time;avg;se;sign
solist;tyramine;0;0.1468;0.0171;abc
solist;tyramine;1;0.1352;0.0168;abc
solist;tyramine;2;0.1347;0.0105;abc
solist;tyramine;3;0.1713;0.018;a
solist;tyramine;4;0.1644;0.0187;ab
solist;tyramine;5;0.1105;0.0225;abc
solist;tyramine;6;0.1105;0.0134;abc
solist;tyramine;7;0.0778;4.48E-03;c
solist;tyramine;8;0.1047;6.19E-03;abc
solist;tyramine;9;0.1192;0.0193;abc
solist;tyramine;10;0.1091;0.0113;abc
solist;tyramine;11;0.0927;0.0212;abc
solist;tyramine;12;0.1105;0.0166;abc
solist;tyramine;13;0.0783;0.0146;c
solist;tyramine;14;0.1066;0.0192;abc
solist;tyramine;15;0.0764;0.0123;c
solist;tyramine;16;0.0895;0.0117;bc
solist;tyramine;17;0.0986;0.021;abc
solist;tyramine;18;0.0825;6.31E-03;bc
solist;tyramine;19;0.0837;0.0114;bc
solist;tyramine;20;0.0786;5.44E-03;c
solist;tyramine;21;0.0769;9.59E-03;c
solist;tyramine;22;0.0725;0.0134;c
solist;tyramine;23;0.0513;4.47E-03;c
solist;tyramine;24;0.0474;4.32E-03;c
solist;NMT;0;1.283;0.0762;ab
solist;NMT;1;1.1034;0.054;abcd
solist;NMT;2;1.105;0.0698;abcd
solist;NMT;3;1.2781;0.0707;ab
solist;NMT;4;1.2643;0.1386;ab
solist;NMT;5;1.1221;0.1143;abc
solist;NMT;6;1.0046;0.0406;abcd
solist;NMT;7;0.9289;0.0691;bcd
solist;NMT;8;1.2002;0.0496;ab
solist;NMT;9;1.2051;0.0867;ab
solist;NMT;10;1.2526;0.0732;ab
solist;NMT;11;0.9463;0.1415;bcd
solist;NMT;12;1.1397;0.168;ab
solist;NMT;13;1.1942;0.1012;ab
solist;NMT;14;1.355;0.1632;a
solist;NMT;15;0.9671;0.0649;bcd
solist;NMT;16;1.0396;0.0893;abcd
solist;NMT;17;1.1969;0.1188;ab
solist;NMT;18;1.0153;0.0789;abcd
solist;NMT;19;0.9998;0.1017;bcd
solist;NMT;20;0.9433;0.0534;abcd
solist;NMT;21;1.0583;0.098;bcd
solist;NMT;22;0.8051;0.0956;cd
solist;NMT;23;0.6499;0.0591;d
solist;NMT;24;0.6316;0.053;d
solist;hordenine;0;0.9945;0.1069;a
solist;hordenine;1;0.8328;0.1026;ab
solist;hordenine;2;0.735;0.0501;abc
solist;hordenine;3;0.7352;0.0541;abc
solist;hordenine;4;0.7216;0.0973;abc
solist;hordenine;5;0.6886;0.0527;abc
solist;hordenine;6;0.637;0.0107;abc
solist;hordenine;7;0.5743;0.0846;abc
solist;hordenine;8;0.7425;0.0591;abc
solist;hordenine;9;0.5816;0.0754;abc
solist;hordenine;10;0.7755;0.0565;ab
solist;hordenine;11;0.4582;0.0458;bc
solist;hordenine;12;0.5273;0.0654;abc
solist;hordenine;13;0.4101;0.0391;bc
solist;hordenine;14;0.7405;0.0737;abc
solist;hordenine;15;0.5594;0.0492;abc
solist;hordenine;16;0.6073;0.0476;abc
solist;hordenine;17;0.7113;0.0361;abc
solist;hordenine;18;0.6952;0.0727;abc
solist;hordenine;19;0.7464;0.0784;abc
solist;hordenine;20;0.6843;0.0731;abc
solist;hordenine;21;0.6909;0.0689;abc
solist;hordenine;22;0.375;0.0481;bc
solist;hordenine;23;0.4109;0.0733;bc
solist;hordenine;24;0.3587;0.0564;c
