genotype;molecule;time;avg;se;sign
solist;hordenine;0;0.7725;0.0318;a
solist;hordenine;3;0.9269;0.0858;a
solist;hordenine;8;0.7146;0.0732;ab
solist;hordenine;22;0.835;0.0629;a
solist;hordenine;27;0.8029;0.049;a
solist;hordenine;32;0.8167;0.0628;a
solist;hordenine;46;0.5164;0.0452;bc
solist;hordenine;51;0.5285;0.0389;bc
solist;hordenine;56;0.5247;0.0363;bc
solist;hordenine;70;0.5057;0.0515;bc
solist;hordenine;75;0.5518;0.0581;bc
solist;hordenine;79;0.3576;0.0534;cd
solist;hordenine;94;0.3442;0.0391;cd
solist;hordenine;99;0.2679;0.05;de
solist;hordenine;166;0.1149;0.0165;e
solist;hordenine;171;0.198;0.0304;de
solist;NMT;0;0.9678;0.0366;b
solist;NMT;3;1.4544;0.117;a
solist;NMT;8;1.3295;0.0516;a
solist;NMT;22;1.1504;0.0707;ab
solist;NMT;27;0.95;0.0702;bc
solist;NMT;32;1.165;0.0561;a
solist;NMT;46;0.7656;0.0332;cd
solist;NMT;51;0.7788;0.0583;cd
solist;NMT;56;0.7827;0.0491;cd
solist;NMT;70;0.7656;0.0523;cd
solist;NMT;75;0.867;0.0324;c
solist;NMT;79;0.7038;0.0606;d
solist;NMT;94;0.5671;0.0422;e
solist;NMT;99;0.6531;0.062;de
solist;NMT;166;0.3517;0.0213;f
solist;NMT;171;0.3533;0.0355;f
solist;tyramine;0;0.1175;5.59E-03;bc
solist;tyramine;3;0.1615;0.0188;a
solist;tyramine;8;0.1315;0.0172;ab
solist;tyramine;22;0.1059;0.016;bc
solist;tyramine;27;0.0826;9.47E-03;cd
solist;tyramine;32;0.0877;9.50E-03;cdb
solist;tyramine;46;0.0399;5.49E-03;de
solist;tyramine;51;0.0365;5.92E-03;de
solist;tyramine;56;0.0346;3.70E-03;e
solist;tyramine;70;0.0382;0.0107;de
solist;tyramine;75;0.0439;7.25E-03;de
solist;tyramine;79;0.0396;7.99E-03;de
solist;tyramine;94;0.042;0.0101;de
solist;tyramine;99;0.0507;6.82E-03;de
solist;tyramine;166;0.0176;1.06E-03;e
solist;tyramine;171;0.0163;1.26E-03;e
