ID;genotype;replica;treatment;compound;area;t_test
Fe33;solist;1;Fe;hordenine;2.38E+07;abc
Fe33;solist;1;Fe;NMT;8708008;ab
Fe33;solist;1;Fe;candicine;2746342;b
Fe33;solist;1;Fe;tyramine;223337;a
Fe33;solist;2;Fe;hordenine;2.39E+07;abc
Fe33;solist;2;Fe;NMT;7815432;ab
Fe33;solist;2;Fe;candicine;2828503;b
Fe33;solist;2;Fe;tyramine;232936;a
Fe35;solist;1;Fe;hordenine;2.93E+07;abc
Fe35;solist;1;Fe;NMT;8990468;ab
Fe35;solist;1;Fe;candicine;4055168;b
Fe35;solist;1;Fe;tyramine;140980;a
Fe35;solist;2;Fe;hordenine;3.05E+07;abc
Fe35;solist;2;Fe;NMT;9312385;ab
Fe35;solist;2;Fe;candicine;3992239;b
Fe35;solist;2;Fe;tyramine;1;a
Fe37;solist;1;Fe;hordenine;2.87E+07;abc
Fe37;solist;1;Fe;NMT;1.00E+07;ab
Fe37;solist;1;Fe;candicine;4334773;b
Fe37;solist;1;Fe;tyramine;266299;a
Fe37;solist;2;Fe;hordenine;2.77E+07;abc
Fe37;solist;2;Fe;NMT;9276236;ab
Fe37;solist;2;Fe;candicine;4235740;b
Fe37;solist;2;Fe;tyramine;272427;a
N32;solist;1;N;hordenine;2.83E+07;a
N32;solist;1;N;NMT;1.11E+07;a
N32;solist;1;N;candicine;9884625;a
N32;solist;1;N;tyramine;272934;a
N32;solist;2;N;hordenine;2.71E+07;a
N32;solist;2;N;NMT;8407285;a
N32;solist;2;N;candicine;9885486;a
N32;solist;2;N;tyramine;1;a
N33;solist;1;N;hordenine;3.08E+07;a
N33;solist;1;N;NMT;1.07E+07;a
N33;solist;1;N;candicine;7159454;a
N33;solist;1;N;tyramine;1;a
N33;solist;2;N;hordenine;2.86E+07;a
N33;solist;2;N;NMT;8761068;a
N33;solist;2;N;candicine;7019336;a
N33;solist;2;N;tyramine;1;a
N34;solist;1;N;hordenine;5.59E+07;a
N34;solist;1;N;NMT;1.88E+07;a
N34;solist;1;N;candicine;5162922;a
N34;solist;1;N;tyramine;1;a
N34;solist;2;N;hordenine;5.57E+07;a
N34;solist;2;N;NMT;1.99E+07;a
N34;solist;2;N;candicine;5101211;a
N34;solist;2;N;tyramine;1;a
P31;solist;1;P;hordenine;4.55E+07;ab
P31;solist;1;P;NMT;1.45E+07;a
P31;solist;1;P;candicine;3148440;b
P31;solist;1;P;tyramine;325534;a
P31;solist;2;P;hordenine;4.42E+07;ab
P31;solist;2;P;NMT;1.26E+07;a
P31;solist;2;P;candicine;3130776;b
P31;solist;2;P;tyramine;307336;a
P34;solist;1;P;hordenine;3.86E+07;ab
P34;solist;1;P;NMT;1.27E+07;a
P34;solist;1;P;candicine;2610585;b
P34;solist;1;P;tyramine;1;a
P34;solist;2;P;hordenine;4.02E+07;ab
P34;solist;2;P;NMT;1.49E+07;a
P34;solist;2;P;candicine;2553926;b
P34;solist;2;P;tyramine;1;a
P40;solist;1;P;hordenine;2.76E+07;ab
P40;solist;1;P;NMT;9603035;a
P40;solist;1;P;candicine;1;b
P40;solist;1;P;tyramine;1;a
P40;solist;2;P;hordenine;2.76E+07;ab
P40;solist;2;P;NMT;1.07E+07;a
P40;solist;2;P;candicine;1;b
P40;solist;2;P;tyramine;1;a
S31;solist;1;S;hordenine;2.20E+07;bc
S31;solist;1;S;NMT;8351247;ab
S31;solist;1;S;candicine;4088996;b
S31;solist;1;S;tyramine;432961;a
S31;solist;2;S;hordenine;2.18E+07;bc
S31;solist;2;S;NMT;8502861;ab
S31;solist;2;S;candicine;4001522;b
S31;solist;2;S;tyramine;407248;a
S35;solist;1;S;hordenine;2.46E+07;bc
S35;solist;1;S;NMT;7426748;ab
S35;solist;1;S;candicine;3157550;b
S35;solist;1;S;tyramine;1;a
S35;solist;2;S;hordenine;2.51E+07;bc
S35;solist;2;S;NMT;8239795;ab
S35;solist;2;S;candicine;3213531;b
S35;solist;2;S;tyramine;1;a
S40;solist;1;S;hordenine;2.66E+07;bc
S40;solist;1;S;NMT;1.03E+07;ab
S40;solist;1;S;candicine;3912319;b
S40;solist;1;S;tyramine;1;a
S40;solist;2;S;hordenine;2.70E+07;bc
S40;solist;2;S;NMT;9776974;ab
S40;solist;2;S;candicine;4005210;b
S40;solist;2;S;tyramine;1;a
C33;solist;1;C;hordenine;1.80E+07;c
C33;solist;1;C;NMT;6970902;b
C33;solist;1;C;candicine;1149186;b
C33;solist;1;C;tyramine;1;a
C33;solist;2;C;hordenine;1.84E+07;c
C33;solist;2;C;NMT;8094216;b
C33;solist;2;C;candicine;2483801;b
C33;solist;2;C;tyramine;1;a
C34;solist;1;C;hordenine;2.46E+07;c
C34;solist;1;C;NMT;8337287;b
C34;solist;1;C;candicine;4822914;b
C34;solist;1;C;tyramine;1;a
C34;solist;2;C;hordenine;2.48E+07;c
C34;solist;2;C;NMT;9146281;b
C34;solist;2;C;candicine;4760888;b
C34;solist;2;C;tyramine;1;a
C37;solist;1;C;hordenine;1.77E+07;c
C37;solist;1;C;NMT;3108755;b
C37;solist;1;C;candicine;4956237;b
C37;solist;1;C;tyramine;1;a
C37;solist;2;C;hordenine;1.75E+07;c
C37;solist;2;C;NMT;3165525;b
C37;solist;2;C;candicine;4924294;b
C37;solist;2;C;tyramine;1;a
